minute,sh,sz
0930,0.56,0.22
0931,-0.22,0.22
0932,-0.01,-0.21
0933,-0.03,-0.12
0934,0.04,0.14
0935,-0.33,0.12
0936,-0.59,-0.12
0937,-0.80,-0.33
0938,-0.71,-0.08
0939,-1.16,-0.43
0940,-1.56,-1.01
0941,-2.26,-1.45
0942,-2.00,-0.95
0943,-1.95,-0.79
0944,-2.29,-1.24
0945,-2.26,-0.98
0946,-2.26,-1.07
0947,-2.38,-1.05
0948,-2.76,-1.41
0949,-2.18,-0.23
0950,-2.34,-0.22
0951,-2.61,-0.37
0952,-2.22,0.24
0953,-2.57,0.26
0954,-2.78,0.19
0955,-2.52,0.72
0956,-2.76,1.07
0957,-3.18,1.12
0958,-3.28,0.75
0959,-3.52,0.35
1000,-3.82,0.14
1001,-4.22,-0.12
1002,-4.48,-0.19
1003,-4.92,-0.37
1004,-4.95,-0.22
1005,-4.95,-0.18
1006,-5.05,-0.12
1007,-5.00,0.17
1008,-5.46,-0.24
1009,-5.73,-0.73
1010,-6.12,-0.93
1011,-6.28,-1.01
1012,-6.21,-0.84
1013,-6.07,-0.78
1014,-6.30,-0.94
1015,-6.35,-0.99
1016,-6.49,-1.16
1017,-6.79,-1.49
1018,-6.72,-1.37
1019,-6.78,-1.42
1020,-6.82,-1.50
1021,-6.77,-1.27
1022,-6.66,-0.99
1023,-6.66,-1.13
1024,-6.80,-1.27
1025,-6.86,-1.11
1026,-6.82,-1.08
1027,-6.96,-1.20
1028,-7.10,-1.32
1029,-7.78,-1.54
1030,-7.82,-1.51
1031,-7.54,-1.51
1032,-7.52,-1.07
1033,-7.39,-1.14
1034,-7.30,-1.00
1035,-7.29,-0.84
1036,-7.22,-0.85
1037,-7.22,-0.78
1038,-7.31,-0.83
1039,-7.60,-1.25
1040,-7.70,-1.33
1041,-8.02,-1.49
1042,-8.14,-1.63
1043,-8.15,-1.55
1044,-8.32,-1.91
1045,-8.41,-2.00
1046,-8.47,-2.07
1047,-8.52,-2.01
1048,-8.55,-2.10
1049,-8.55,-2.15
1050,-8.53,-2.19
1051,-8.62,-2.26
1052,-8.73,-2.24
1053,-8.98,-2.34
1054,-9.23,-2.75
1055,-9.31,-2.84
1056,-9.27,-2.65
1057,-9.26,-2.53
1058,-9.30,-2.46
1059,-9.38,-2.57
1100,-9.39,-2.59
1101,-9.50,-2.67
1102,-10.42,-3.22
1103,-10.56,-3.31
1104,-10.34,-3.04
1105,-10.29,-2.93
1106,-10.37,-2.98
1107,-10.52,-3.02
1108,-10.53,-2.83
1109,-10.41,-2.68
1110,-10.34,-2.65
1111,-10.27,-2.67
1112,-10.19,-2.74
1113,-10.23,-2.79
1114,-10.26,-2.73
1115,-10.31,-2.79
1116,-10.48,-2.81
1117,-10.54,-2.97
1118,-10.67,-3.07
1119,-10.83,-2.98
1120,-10.90,-3.04
1121,-11.69,-3.47
1122,-11.55,-2.84
1123,-11.49,-2.61
1124,-11.52,-2.55
1125,-11.46,-2.53
1126,-11.24,-2.02
1127,-11.35,-2.07
1128,-11.89,-2.27
1129,-12.07,-2.40
1130,-12.14,-2.45
1300,-12.07,-2.41
1301,-11.82,-2.34
1302,-11.88,-2.37
1303,-11.91,-2.40
1304,-11.85,-2.35
1305,-11.60,-2.14
1306,-11.44,-2.12
1307,-11.25,-1.93
1308,-11.25,-1.97
1309,-11.45,-2.09
1310,-11.53,-2.14
1311,-11.53,-2.12
1312,-11.58,-2.15
1313,-11.58,-2.25
1314,-11.72,-2.20
1315,-11.63,-1.97
1316,-11.73,-1.87
1317,-11.75,-1.74
1318,-11.76,-1.78
1319,-11.81,-1.85
1320,-11.82,-1.94
1321,-12.13,-2.25
1322,-12.18,-2.39
1323,-12.17,-2.32
1324,-12.29,-2.35
1325,-12.29,-2.46
1326,-12.30,-2.50
1327,-12.29,-2.51
1328,-12.30,-2.59
1329,-12.56,-3.03
1330,-12.60,-3.03
1331,-12.58,-3.11
1332,-12.60,-3.06
1333,-12.46,-2.66
1334,-12.43,-2.45
1335,-12.45,-2.49
1336,-12.44,-2.38
1337,-12.37,-2.35
1338,-12.33,-2.35
1339,-12.33,-2.40
1340,-12.37,-2.43
1341,-12.39,-2.42
1342,-12.35,-2.27
1343,-12.29,-2.19
1344,-12.42,-2.37
1345,-12.49,-2.44
1346,-12.59,-2.40
1347,-12.59,-2.53
1348,-12.56,-2.57
1349,-12.57,-2.61
1350,-12.58,-2.64
1351,-12.69,-2.80
1352,-12.70,-2.77
1353,-12.68,-2.78
1354,-12.66,-2.79
1355,-12.57,-2.86
1356,-12.41,-2.69
1357,-12.23,-2.45
1358,-12.20,-2.43
1359,-12.23,-2.47
1400,-12.20,-2.43
1401,-12.20,-2.09
1402,-11.61,-2.43
1403,-11.89,-2.43
1404,-11.94,-2.65
1405,-11.94,-2.68
1406,-12.06,-2.75
1407,-12.10,-2.75
1408,-12.08,-2.70
1409,-12.16,-2.90
1410,-12.23,-3.02
1411,-12.21,-2.90
1412,-12.23,-2.90
1413,-12.30,-2.88
1414,-12.64,-3.13
1415,-12.74,-3.13
1416,-12.73,-3.10
1417,-12.77,-3.09
1418,-12.74,-3.15
1419,-12.64,-3.01
1420,-12.54,-2.81
1421,-12.45,-2.91
1422,-12.43,-3.10
1423,-12.83,-3.39
1424,-12.93,-3.52
1425,-13.00,-3.71
1426,-12.95,-3.62
1427,-12.82,-3.32
1428,-12.93,-3.49
1429,-13.56,-4.07
1430,-13.74,-4.27
